LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
JPN,EDUTRY,25_34_MEN,PC_AGE,A,2017,58.682636,
JPN,EDUTRY,25_34_MEN,PC_AGE,A,2018,57.709923,
JPN,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,61.019489,
JPN,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,62.17458,
JPN,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,62.229103,
JPN,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,63.866879,
JPN,EDUTRY,55_64_MEN,PC_AGE,A,2015,41.47287,
JPN,EDUTRY,55_64_MEN,PC_AGE,A,2016,43.04813,
JPN,EDUTRY,55_64_MEN,PC_AGE,A,2017,43.724697,
JPN,EDUTRY,55_64_MEN,PC_AGE,A,2018,45.788044,
JPN,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,34.968552,
JPN,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,36.493507,
JPN,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,38.471672,
JPN,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,40.266666,
KOR,EDUTRY,25_34_MEN,PC_AGE,A,2015,64.672935,
KOR,EDUTRY,25_34_MEN,PC_AGE,A,2016,65.601265,
KOR,EDUTRY,25_34_MEN,PC_AGE,A,2017,65.122734,
KOR,EDUTRY,25_34_MEN,PC_AGE,A,2018,64.050468,
KOR,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,73.38208,
KOR,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,74.491585,
KOR,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,74.851837,
KOR,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,75.711029,
KOR,EDUTRY,55_64_MEN,PC_AGE,A,2015,26.091993,
KOR,EDUTRY,55_64_MEN,PC_AGE,A,2016,27.602379,
KOR,EDUTRY,55_64_MEN,PC_AGE,A,2017,29.188108,
KOR,EDUTRY,55_64_MEN,PC_AGE,A,2018,30.872976,
KOR,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,10.756877,
KOR,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,11.929082,
KOR,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,13.686517,
KOR,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,15.472882,
LUX,EDUTRY,25_34_MEN,PC_AGE,A,2015,44.709385,
LUX,EDUTRY,25_34_MEN,PC_AGE,A,2016,48.552761,
LUX,EDUTRY,25_34_MEN,PC_AGE,A,2017,47.41264,
LUX,EDUTRY,25_34_MEN,PC_AGE,A,2018,52.496437,
LUX,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,55.120457,
LUX,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,54.404785,
LUX,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,55.344994,
LUX,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,57.033089,
LUX,EDUTRY,55_64_MEN,PC_AGE,A,2015,29.54616,
LUX,EDUTRY,55_64_MEN,PC_AGE,A,2016,32.854256,
LUX,EDUTRY,55_64_MEN,PC_AGE,A,2017,24.874454,
LUX,EDUTRY,55_64_MEN,PC_AGE,A,2018,28.409676,
LUX,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,22.580532,
LUX,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,21.600029,
LUX,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,20.019812,
LUX,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,27.559954,
MEX,EDUTRY,25_34_MEN,PC_AGE,A,2015,20.182451,
MEX,EDUTRY,25_34_MEN,PC_AGE,A,2016,21.913038,
MEX,EDUTRY,25_34_MEN,PC_AGE,A,2017,22.566339,
MEX,EDUTRY,25_34_MEN,PC_AGE,A,2018,22.895041,
MEX,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,21.372725,
MEX,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,21.681087,
MEX,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,22.546261,
MEX,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,23.776047,
MEX,EDUTRY,55_64_MEN,PC_AGE,A,2015,16.165628,
MEX,EDUTRY,55_64_MEN,PC_AGE,A,2016,16.572161,
MEX,EDUTRY,55_64_MEN,PC_AGE,A,2017,17.141891,
MEX,EDUTRY,55_64_MEN,PC_AGE,A,2018,17.729919,
MEX,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,8.6832161,
MEX,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,9.204299,
MEX,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,10.095322,
MEX,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,10.639771,
NLD,EDUTRY,25_34_MEN,PC_AGE,A,2015,40.638214,
NLD,EDUTRY,25_34_MEN,PC_AGE,A,2016,40.29282,
NLD,EDUTRY,25_34_MEN,PC_AGE,A,2017,41.76627,
NLD,EDUTRY,25_34_MEN,PC_AGE,A,2018,42.794514,
NLD,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,49.561886,
NLD,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,50.200306,
NLD,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,51.491245,
NLD,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,52.476837,
NLD,EDUTRY,55_64_MEN,PC_AGE,A,2015,30.943844,
NLD,EDUTRY,55_64_MEN,PC_AGE,A,2016,31.598803,
NLD,EDUTRY,55_64_MEN,PC_AGE,A,2017,31.461798,
NLD,EDUTRY,55_64_MEN,PC_AGE,A,2018,32.628563,
NLD,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,22.899529,
NLD,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,23.240147,
NLD,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,24.329433,
NLD,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,25.494896,
NZL,EDUTRY,25_34_MEN,PC_AGE,A,2015,34.767403,
NZL,EDUTRY,25_34_MEN,PC_AGE,A,2016,40.078972,
NZL,EDUTRY,25_34_MEN,PC_AGE,A,2017,40.085678,
NZL,EDUTRY,25_34_MEN,PC_AGE,A,2018,40.382385,
NZL,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,43.146366,
NZL,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,46.584438,
